bam_filename,bam_index_filename,dataset_pk,is_on_blob,library_id,sample_id
MT2988/A08461/merge32767_bwa-mem-0.7.6a-sb/100bp/hg19a/A08461_4_lanes_dupsFlagged.bam,MT2988/A08461/merge32767_bwa-mem-0.7.6a-sb/100bp/hg19a/A08461_4_lanes_dupsFlagged.bam.bai,5742,True,A08461,SA423N
MT2932/A08462/merge32769_bwa-mem-0.7.6a-sb/100bp/hg19a/A08462_4_lanes_dupsFlagged.bam,MT2932/A08462/merge32769_bwa-mem-0.7.6a-sb/100bp/hg19a/A08462_4_lanes_dupsFlagged.bam.bai,5743,True,A08462,SA425N
SA495/A20857/merge32990_bwa-mem-0.7.6a-sb/100bp-150bp/hg19a/A20857_6_lanes_dupsFlagged.bam,SA495/A20857/merge32990_bwa-mem-0.7.6a-sb/100bp-150bp/hg19a/A20857_6_lanes_dupsFlagged.bam.bai,5816,True,A20857,SA495
SA495N/A20871/merge32777_bwa-mem-0.7.6a-sb/100bp/hg19a/A20871_3_lanes_dupsFlagged.bam,SA495N/A20871/merge32777_bwa-mem-0.7.6a-sb/100bp/hg19a/A20871_3_lanes_dupsFlagged.bam.bai,5745,True,A20871,SA495N
SA286/A26500/merge32983_bwa-mem-0.7.6a-sb/100bp-150bp/hg19a/A26500_4_lanes_dupsFlagged.bam,SA286/A26500/merge32983_bwa-mem-0.7.6a-sb/100bp-150bp/hg19a/A26500_4_lanes_dupsFlagged.bam.bai,5817,True,A26500,SA286
SA289/A26501/merge32984_bwa-mem-0.7.6a-sb/100bp-150bp/hg19a/A26501_4_lanes_dupsFlagged.bam,SA289/A26501/merge32984_bwa-mem-0.7.6a-sb/100bp-150bp/hg19a/A26501_4_lanes_dupsFlagged.bam.bai,5818,True,A26501,SA289
SA291/A26502/merge32985_bwa-mem-0.7.6a-sb/100bp-150bp/hg19a/A26502_4_lanes_dupsFlagged.bam,SA291/A26502/merge32985_bwa-mem-0.7.6a-sb/100bp-150bp/hg19a/A26502_4_lanes_dupsFlagged.bam.bai,5819,True,A26502,SA291
SA280/A26503/merge32986_bwa-mem-0.7.6a-sb/100bp-150bp/hg19a/A26503_4_lanes_dupsFlagged.bam,SA280/A26503/merge32986_bwa-mem-0.7.6a-sb/100bp-150bp/hg19a/A26503_4_lanes_dupsFlagged.bam.bai,5820,True,A26503,SA280
SA286N/A26504/merge32768_bwa-mem-0.7.6a-sb/100bp/hg19a/A26504_3_lanes_dupsFlagged.bam,SA286N/A26504/merge32768_bwa-mem-0.7.6a-sb/100bp/hg19a/A26504_3_lanes_dupsFlagged.bam.bai,5746,True,A26504,SA286N
SA289N/A26505/merge32782_bwa-mem-0.7.6a-sb/100bp/hg19a/A26505_3_lanes_dupsFlagged.bam,SA289N/A26505/merge32782_bwa-mem-0.7.6a-sb/100bp/hg19a/A26505_3_lanes_dupsFlagged.bam.bai,5747,True,A26505,SA289N
